Deal id,Deal name,Deal date,Country/Territory,Deal value (£m),Industry,Super sector,Basic sector,Advanced sector,Business description,Vendor,Vendor type,Equity lead,Date established,Region,City,Fund invested from,Number of staff,EBIT (£m),Turnover (£m),Turnover year,Exit status,Firm name,Name,Current Role,Years in Current Role,Degree,Grades
407508,Bisca,01/03/2024,Denmark,57.56264596,Consumer Goods,Food & Beverage,Food Producers,Food Products, Producer of biscuit and cookie products ,Jordanes AS,Foreign parent,Erhvervsinvest Management A/S,1890,Central Denmark,Aarhus,Erhvervsinvest V,,,45.93,2023,n/a-Currently Held,Bisca,Casey Brown,CFO,1,MBA,Lower Second Class
407450,"Induver NV, Clover",01/03/2024,Belgium,30.24173971,Financials,Insurance,Nonlife Insurance,Insurance Brokers, Insurance brokers ,,Family/Private,"zManagement, HgCapital",,Flanders,Antwerp,HG Capital Mercury 4,,,,2023,n/a-Currently Held,Induver NV,Riley Jones,CFO,1,MSc Finance,First Class
407479,Negotiation Advisory,01/03/2024,Germany,17.14195726,Industrials,Industrial Goods & Services,Support Services,Business Support Services, Consulting firm ,,Family/Private,Liberta Partners,2018,South West Germany,Baden Wurttemberg,,50,,,2023,n/a-Currently Held,Negotiation Advisory,Casey Martinez,CFO,5,MBA,Lower Second Class
407470,Alter Domus,01/03/2024,Luxembourg,4193.81,Industrials,Industrial Goods & Services,Support Services,Business Support Services," Provider of administrative services for corporations including fund administration, corporate secretarial, accounting, consolidation, tax and legal compliance and debt administration services ",Permira Ltd,Institutional Investor,CINVen Netherlands,2003,Luxembourg,Luxembourg,,,,,2023,n/a-Currently Held,Alter Domus,Jamie Miller,CFO,3,MBA,First Class
407507,Sofyne Active Technology,01/03/2024,United Kingdom,39.68332497,Technology,Technology,Software & Computer Services,Computer Services, IT services company with an expertise in MES/MOM (Manufacturing Execution System/Operations Management) and PLM (Product Lifecycle Management) ,,Family/Private,Waterland Private Equity,2005,London,London,,,,20,2023,n/a-Currently Held,Sofyne Active Technology,Riley Jones,CFO,4,MSc Finance,Third Class
407469,CelaVita,01/03/2024,Netherlands,48.5257929,Consumer Goods,Food & Beverage,Food Producers,Food Products, Fresh potato producer ,McCain Foods Ltd,Foreign parent,Nimbus,,East Holland,Wezep,,200,,51.35,2023,n/a-Currently Held,CelaVita,Morgan Davis,CFO,3,BSc Finance,Lower Second Class
407444,Softco Group,01/03/2024,Ireland,84.11953792,Technology,Technology,Software & Computer Services,Software, Provider of procure-to-pay (P2P) and compliance software ,,Family/Private,Keensight Capital (formerly R Capital Management),1990,Dublin,Dublin,,,,,2023,n/a-Currently Held,Softco Group,Riley Williams,CFO,1,MSc Finance,Third Class
407445,"SmartHOTEL BV, Hoteliers.com BV",01/03/2024,Netherlands,33.01415191,Technology,Technology,Software & Computer Services,Software, Software-E-Commerce company engaged with hotel booking software ,,Family/Private,Connected Capital,,South Holland,Reeuwijk,,,,,2023,n/a-Currently Held,SmartHOTEL BV,Jordan Jones,CFO,1,BSc Finance,Lower Second Class
407505,Ocellis,01/03/2024,France,83.13019047,Industrials,Construction & Materials,Construction & Materials,Heavy Construction," General contractor for projects in design, works, development and climate engineering ",Turenne Capital,Institutional Investor,"Initiative & Finance, zManagement, Arkéa Capital Investissement",1999,Ile de France,Suresnes,Tomorrow Private Equity Fund,,,72.75,2023,n/a-Currently Held,Ocellis,Sam Davis,CFO,5,BSc Finance,Upper Second Class
407491,Elite KL,01/03/2024,United Kingdom,4.747295855,Industrials,Industrial Goods & Services,Industrial Engineering,Industrial Machinery," Specialized in the design, manufacture, and supply of HVAC systems, auxiliary power systems, and heat exchangers ",,Family/Private,"Ethos Partners, Maven Capital Partners ",1996,West Midlands,Tamworth,,,,,2023,n/a-Currently Held,Elite KL,Jordan Johnson,CFO,6,MSc Finance,Third Class
407492,Innovative Beauty Group (IBG),01/03/2024,France,n/d(100-250m),Consumer Goods,Personal & Household Goods,Personal Goods,Personal Products, Provider of beauty and personal care products and services ,Albea Services SAS,Local Parent,Fremman Capital,2019,Ile de France,Paris,,300,,,2023,n/a-Currently Held,Innovative Beauty Group (IBG),Taylor Smith,CFO,3,BSc Finance,Upper Second Class
407493,Famar,01/03/2024,Greece,n/d(100-250m),Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals, Contract manufacturer for the pharmaceutical and health and beauty industry ,Elements Capital Partners Ltd,Institutional Investor,HIG Capital,1949,Athens,Attica,,,,,2023,n/a-Currently Held,Famar,Dakota Garcia,CFO,9,MBA,First Class
407446,Checkmate Fire,01/03/2024,United Kingdom,63.68182186,Industrials,Industrial Goods & Services,Support Services,Business Support Services, Provider of&nbsp;passive fire protection services ,YFM Equity Partners Ltd,Institutional Investor,IK Investment Partners,1989,Yorkshire & The Humber,West Yorkshire,,200,,,2023,n/a-Currently Held,Checkmate Fire,Quinn Smith,CFO,5,MSc Finance,Upper Second Class
407503,Spider Med,01/03/2024,Finland,33.30075147,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers, Provider of dental medical services ,,Family/Private,"Unknown Investor(s), zManagement, MB Rahastot",2020,Southern Finland,Helsinki,,,,,2023,n/a-Currently Held,Spider Med,Dakota Williams,CFO,8,BSc Accounting,Lower Second Class
407447,STIM,01/03/2024,Norway,71.03954297,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals, Supplier of fish health products and services ,Nordly Holding AS,Local Parent,Summa Equity,,Northern Norway,Nordland,Summa Equity Fund III,,,128.38,2023,n/a-Currently Held,STIM,Casey Brown,CFO,1,BSc Accounting,Upper Second Class
407462,ActiveViam,01/02/2024,United Kingdom,66.01184938,Technology,Technology,Software & Computer Services,Software, Developer of a precision analytics platform ,Guidepost Growth Management Co LLC,Institutional Investor,"zManagement, Nordic Capital",2005,London,London,,160,,,2023,n/a-Currently Held,ActiveViam,Quinn Williams,CFO,5,MBA,Upper Second Class
407480,Ranger Fire and Security,01/02/2024,United Kingdom,45.78547792,Industrials,Industrial Goods & Services,Support Services,Business Support Services, Manufacturer of firefighting products and systems ,,Family/Private,Hyperion Equity Partners,2024,London,London,,,,,2023,n/a-Currently Held,Ranger Fire and Security,Taylor Williams,CFO,3,BSc Accounting,Lower Second Class
407481,HealthHarmonie,01/02/2024,United Kingdom,26.21692181,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers," Independent healthcare provider, working with the NHS to deliver community-based healthcare ",,Family/Private,Fremman Capital,,West Midlands,Birmingham,,,,,2023,n/a-Currently Held,HealthHarmonie,Casey Jones,CFO,1,BSc Accounting,First Class
407495,Iridis Groupe,01/02/2024,France,18.9100527,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers, Company that specializes in the maintenance and distribution of equipment for fast-food industry players. ,,Family/Private,Sparring Capital,1975,Ile de France,Trappes,,60,,17.12,2023,n/a-Currently Held,Iridis Groupe,Quinn Miller,CFO,4,MBA,First Class
407499,Logistica Carosan,01/02/2024,Spain,12.18304077,Industrials,Industrial Goods & Services,Industrial Transportation,Transportation Services, Warehousing and freight forwarding services provider ,,Family/Private,Sherpa Capital,,Central Spain,Toledo,,,,,2023,n/a-Currently Held,Logistica Carosan,Sam Brown,CFO,5,BSc Accounting,First Class
407329,Webasto SE (Charging solutions business),01/02/2024,Germany,90.59577702,Consumer Goods,Automobiles & Parts,Automobiles & Parts,Auto Parts, Charging solutions business ,Webasto SE,Local Parent,Transom Capital Group LLC,,Bayern,Stockdorf,,,,,2023,n/a-Currently Held,Webasto SE (Charging solutions business),Quinn Johnson,CFO,7,MBA,Upper Second Class
407371,Echelon DC,01/02/2024,Ireland,2127.38,Technology,Technology,Software & Computer Services,Computer Services, Data centre developers ,,Family/Private,Starwood Capital,2016,Dublin,Dublin,,,,,2023,n/a-Currently Held,Echelon DC,Dakota Rodriguez,CFO,1,BSc Finance,Third Class
407390,Syscom-Prorep,01/02/2024,France,52.84018984,Technology,Technology,Technology Hardware & Equipment,Semiconductors," Manufacturer of semiconductors, sensors and modules ",,Family/Private,"Group Siparex, zManagement, Initiative & Finance",,Ile de France,Lisses,Siparex Midcap 4,,,51.21,2023,n/a-Currently Held,Syscom-Prorep,Dakota Jones,CFO,3,BSc Accounting,Third Class
407400,Go Formations,01/02/2024,France,16.00770824,Consumer Services,Retail,General Retailers,Specialised Consumer Services, Vocational training services provider ,,Family/Private,"Institut Lorrain de Participation (ILP) France, Activa Capital",2004,North East France,Moselle,,,,12.8,2023,n/a-Currently Held,Go Formations,Sam Brown,CFO,2,BSc Finance,First Class
407404,Electro System,01/02/2024,Italy,2.213065913,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment, Engaged in production and marketing of electronic cards and gaming machine. ,Novomatic AG,Foreign parent,FairCap,1979,Emilia Romagna,Imola,,,,,2023,n/a-Currently Held,Electro System,Casey Davis,CFO,9,MBA,Lower Second Class
407405,Ivas Manero Clinic,01/02/2024,Spain,13.06216203,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers," Clinic specialized in aesthetic, plastic and reconstructive medicine and surgery ",,Family/Private,Magnum Capital,,North East Spain,Barcelona,,,,,2023,n/a-Currently Held,Ivas Manero Clinic,Jamie Smith,CFO,10,BSc Finance,Third Class
